emp_no,first_name,last_name,title
10734,Sachar,Erdi,Engineer
10741,Sven,Huttel,Senior Staff
10742,Shim,Wiegley,Technique Leader
10745,Poorav,Ranze,Engineer
10747,Falguni,Khalid,Senior Engineer
10749,King,Brendel,Engineer
10750,Roddy,Demeyer,Technique Leader
10751,Jordanka,Ushiama,Engineer
10764,Yunming,Beetstra,Engineer
10767,Monique,Doering,Staff
10768,Ishfaq,Candan,Engineer
10777,Mizuhito,Kemmerer,Engineer
10778,Selwyn,Merey,Senior Staff
10780,Goncalo,Staudhammer,Engineer
10782,Kish,Perna,Staff
10791,Tadahiko,Sgarro,Engineer
10795,Supot,Naudin,Senior Staff
10801,Uinam,Zschoche,Engineer
10803,Katsuyuki,Velasco,Engineer
10808,Chenxi,Leijenhorst,Senior Engineer
10811,Ashish,Fortenbacher,Engineer
10813,Shalesh,Shumilov,Senior Staff
10814,Nidapan,Dymetman,Senior Staff
10826,Arnd,Anandan,Senior Engineer
10827,Willard,Danley,Staff
10829,Alper,Narahara,Staff
10830,Fen,Fiebach,Senior Staff
10831,Toong,Driscoll,Technique Leader
10833,Krisda,Gecseg,Technique Leader
10834,Huiqun,Rajcani,Assistant Engineer
10835,Tomoyuki,Kermarrec,Engineer
10836,Jianhua,Leivant,Senior Staff
10844,Dipayan,Koprowski,Engineer
10846,Tokuyasu,Serre,Senior Engineer
10847,Theirry,Danley,Senior Staff
10848,Fen,Bratsberg,Engineer
10849,Makato,Mayerwieser,Assistant Engineer
10854,Jagoda,Nannarelli,Engineer
10858,Kenroku,Gonthier,Engineer
10867,Billur,Gyorkos,Engineer
10871,Aram,Gilg,Staff
10872,Karoline,Speel,Senior Staff
10873,Sukumar,Wegerle,Staff
10876,Vincent,Papastamatiou,Staff
10878,Lakshmi,Deville,Staff
10879,Muzhong,Chleq,Senior Engineer
10882,Fun,Heuser,Engineer
10883,Shimshon,Champarnaud,Engineer
10885,Rayond,Cronau,Senior Staff
10887,Lunjin,DeMori,Senior Engineer
10895,Vishwani,Petersohn,Staff
10900,Ferdinand,Prenel,Senior Engineer
10906,Munehiro,Carrere,Staff
10909,Georgi,Atchley,Engineer
10912,Oscal,Fasbender,Senior Staff
10913,Narain,Thummel,Staff
10918,Susumu,Reghbati,Staff
10920,Ronghao,Narahara,Senior Staff
10921,Mara,Bahi,Engineer
10922,Kyoichi,Wossner,Staff
10924,Hironoby,Atchley,Senior Staff
10926,Leni,Eppinger,Engineer
10927,Gal,Scallan,Senior Staff
10930,Arch,Minakawa,Engineer
10932,Avishai,Picci,Engineer
10936,Mountaz,Schicker,Senior Staff
10940,Aleksander,Fioravanti,Engineer
10942,Toshimitsu,Larfeldt,Engineer
10943,Berna,Skafidas,Engineer
10944,Remko,Zyda,Senior Engineer
10947,Gor,Usery,Senior Staff
10948,Shigehito,Brodie,Senior Engineer
10949,Shigeichiro,Wroclawski,Senior Staff
10956,Arno,Picel,Engineer
10965,Eckart,Braunschweig,Senior Staff
10969,Premal,Noriega,Senior Engineer
10971,Isamu,Vadhan,Technique Leader
10974,Muneo,Papsdorf,Senior Engineer
10985,Chiradeep,Furedi,Engineer
10986,Masako,Schiper,Technique Leader
10987,Flemming,Baezner,Engineer
10988,Chinya,Deyuan,Senior Engineer
10989,Sumali,Candan,Senior Staff
10990,Shin,Foote,Technique Leader
10996,Matk,Rahimi,Senior Staff
11002,Bluma,Ulupinar,Senior Staff
11004,JoAnna,Decleir,Engineer
11009,Alper,Axelband,Senior Staff
11012,Taegyun,Speckmann,Staff
11019,Leon,Huttel,Engineer
11021,Srinidhi,Henders,Staff
11024,Manton,Collavizza,Staff
11027,Remzi,Cappello,Assistant Engineer
11028,Miyeon,Krider,Engineer
11031,Ottavia,Walstra,Senior Staff
11032,Erez,Schaaf,Staff
11037,Lansing,Maliniak,Engineer
11038,Jinya,Beidas,Senior Staff
11042,Gou,Breugel,Engineer
11048,Jaques,Demke,Senior Staff
11050,Elvis,Katiyar,Senior Staff
11051,Przemyslawa,Erol,Engineer
11056,Palash,Speel,Staff
11060,Genevieve,Pokrovskii,Staff
11061,Pintsang,Erni,Senior Staff
11064,Shawna,Vieri,Assistant Engineer
11066,Shaz,Langford,Senior Staff
11070,Adib,Raney,Engineer
11071,Kwan,Sigstam,Engineer
11075,Karsten,Belinskaya,Senior Engineer
11077,Hideyuki,Merro,Senior Staff
11079,Piyush,Garigliano,Engineer
11081,Barry,Boyle,Senior Staff
11083,Shimshon,Ducloy,Senior Staff
11084,Greger,Senzako,Engineer
11085,Hailing,Thummel,Senior Engineer
11087,Changho,Jayawardene,Senior Engineer
11089,Conal,Henders,Senior Staff
11091,Souichi,Ramsay,Engineer
11092,Narain,Stamatiou,Staff
11098,Arnd,Covnot,Engineer
11100,Berna,Cochrane,Senior Staff
11106,Aris,Iwayama,Assistant Engineer
11110,Valeska,Birjandi,Staff
11111,Udi,Zastre,Assistant Engineer
11112,Boaz,Mukaidono,Staff
11113,Shahab,Peng,Senior Staff
11114,Tse,Felcyn,Staff
11119,Ramzi,Luga,Engineer
11121,Vugranam,Kakkad,Engineer
11130,Xinyu,Menhoudj,Senior Staff
11132,Kristin,Harnett,Engineer
11133,Nalini,Azulay,Technique Leader
11134,Sachar,Rajcani,Engineer
11137,Hugh,Luca,Engineer
11139,Bogdan,Homond,Senior Staff
11143,Yongdong,Rosen,Engineer
11144,Carrsten,Heinisuo,Senior Staff
11145,Jinxi,Baak,Engineer
11146,Ishfaq,Masand,Senior Staff
11147,Ayonca,Nitsch,Engineer
11148,Zhanqiu,Botman,Senior Staff
11156,Tomoyuki,Armand,Staff
11158,Masaki,Hagimont,Engineer
11162,Kauko,Narlikar,Engineer
11168,Shmuel,Tetzlaff,Senior Staff
11170,Minghong,Cannard,Senior Engineer
11174,Akhilish,Milicia,Engineer
11177,Chrisa,dAstous,Senior Engineer
11180,Mitsuyuki,Bojadziev,Engineer
11181,Hausi,Cullers,Engineer
11185,Aloys,Baezner,Senior Staff
11186,Kshitij,Stasinski,Engineer
11189,Dante,Bodoff,Senior Staff
11192,Apostol,Bahr,Engineer
11195,Masanao,Lovengreen,Senior Engineer
11197,Tadahiro,Fordan,Senior Staff
11201,Jouko,Masaki,Staff
11203,Sakthirel,Yetto,Senior Staff
11204,Diederik,Covnot,Technique Leader
11206,Steen,Sury,Staff
11207,Saeed,Gips,Engineer
11208,Saniya,Valtorta,Technique Leader
11211,Yurij,Rissland,Senior Engineer
11213,Vugranam,Munoz,Technique Leader
11217,Kellie,Mawatari,Senior Engineer
11218,Kirk,Hemaspaandra,Technique Leader
11221,Alselm,Hammerschmidt,Engineer
11229,Gretta,Ramamoorthy,Engineer
11232,Hidefumi,Crelier,Senior Staff
11233,Sanjit,Waschkowski,Engineer
11240,Kiam,Condotta,Assistant Engineer
11243,Udi,Desikan,Assistant Engineer
11249,Randi,Cyre,Assistant Engineer
11251,Bezalel,Chinal,Senior Staff
11253,Koldo,Pokrovskii,Engineer
11254,Danel,Rindone,Staff
11258,Aris,Maccarone,Senior Staff
11266,Florina,Rohrbach,Engineer
11267,Shaunak,Zaumen,Senior Engineer
11268,Aimee,Petersohn,Engineer
11274,Masanao,Nicolson,Staff
11275,Hitomi,Eppinger,Engineer
11288,Domenico,Eastman,Senior Staff
11289,Chuanti,Cherinka,Engineer
11290,Visit,Dredge,Engineer
11291,Gino,Glowinski,Senior Engineer
11292,Souichi,Sichman,Engineer
11294,Tru,Segond,Assistant Engineer
11295,Abdelkader,Lanzelotte,Senior Staff
11296,Hironobu,Kenevan,Engineer
11297,Geraldo,Levergood,Engineer
11300,Lillian,Fontet,Engineer
11301,Mingzeng,Oxenboll,Senior Staff
11302,Shem,Senzako,Staff
11315,Neven,Meriste,Staff
11317,Shigeaki,Hagimont,Senior Staff
11319,Pranas,Marrakchi,Assistant Engineer
11320,Atilio,McAlpine,Senior Staff
11322,Nathalie,Pocchiola,Assistant Engineer
11324,Kauko,Billingsley,Senior Engineer
11325,Samphel,Rossi,Engineer
11326,Munenori,Plesums,Engineer
11338,Kwangsub,Hanratty,Senior Staff
11339,Flemming,Massonet,Senior Engineer
11340,Aris,Bala,Engineer
11343,Susanne,Erez,Engineer
11347,Anneli,Jonsson,Engineer
11349,Yurii,Hammerschmidt,Assistant Engineer
11360,Fen,Schach,Senior Staff
11365,Toshimi,Shinomoto,Engineer
11372,Susanta,Vilarrasa,Senior Staff
11373,Yongmao,Keohane,Senior Staff
11376,Valery,Suomi,Senior Staff
11380,Kenroku,Pelc,Assistant Engineer
11385,Shiv,Ullian,Engineer
11386,Alselm,Assaf,Engineer
11387,Jordanka,Kalloufi,Engineer
11393,Junsik,Junot,Engineer
11396,Anneke,Servieres,Engineer
11398,Oscar,Peir,Senior Staff
11401,Huan,Merey,Staff
11404,Bedrich,Borovoy,Technique Leader
11406,Eberhardt,Gini,Senior Staff
11410,Gro,Vendrig,Engineer
11414,Eishiro,Pearson,Senior Staff
11415,Sanjiv,Anido,Engineer
11417,Anneli,Cyne,Technique Leader
11418,Satosi,Cooley,Senior Staff
11420,Tsutomu,Lalonde,Senior Staff
11421,Josyula,Msuda,Engineer
11423,Guangming,Kopetz,Staff
11425,Renee,Crelier,Senior Engineer
11428,Remco,Reinhart,Engineer
11431,Youngkon,Picht,Senior Staff
11441,Marlo,Aingworth,Senior Staff
11446,Naftali,Narahara,Engineer
11449,Kotesh,Asser,Engineer
11451,Eben,Rajaraman,Senior Engineer
11452,Shigehito,Luby,Senior Staff
11459,Duke,Suomi,Senior Staff
11460,Mana,Maraist,Engineer
11461,Kish,Cronau,Engineer
11468,Navin,Maksimenko,Staff
11469,Guttorm,Giaccio,Engineer
11474,Gennady,Akazan,Engineer
11476,Manton,Yoshizawa,Staff
11477,Fox,Narahari,Engineer
11479,Shridhar,Pleszkun,Staff
11501,Karsten,Ranum,Senior Staff
11503,Nathan,Picht,Engineer
11506,Rance,Picel,Staff
11509,Aleksander,Feldhoffer,Engineer
11513,Otmar,Mahnke,Senior Staff
11515,Ulf,Basawa,Staff
11518,Jinxi,Oxman,Senior Staff
11519,Halsur,Chinen,Senior Staff
11521,Eldridge,Eastman,Staff
11523,Yuguang,Pezzoli,Assistant Engineer
11524,Xiadong,Standera,Senior Engineer
11526,Tonny,Impagliazzo,Senior Staff
11527,Alagu,Boyle,Staff
11528,Zito,Dolinsky,Technique Leader
11531,Radhika,Motley,Technique Leader
11533,Vitaly,Lorch,Technique Leader
11537,DAIDA,Pehl,Senior Staff
11540,Chanjung,Portugali,Engineer
11554,Subhash,Taubenfeld,Staff
11555,Kotesh,Perfilyeva,Senior Staff
11562,Rimli,Alencar,Engineer
11567,Teiji,Mitzlaff,Senior Staff
11568,Martins,Fujisaki,Engineer
11573,Pranas,Hutton,Engineer
11575,Godehard,Plotkin,Assistant Engineer
11577,Mayumi,Deyuan,Engineer
11578,Edwin,Rosti,Engineer
11581,Patricio,Rosenbaum,Engineer
11587,Shem,Zambonelli,Senior Engineer
11588,Kaijung,Panangaden,Senior Staff
11589,Gina,Plessier,Engineer
11595,Takanari,Kamber,Senior Staff
11596,Yannik,Gunderson,Staff
11597,Yongdong,Talmon,Senior Engineer
11602,Somnath,Malabarba,Senior Staff
11603,Herb,Swen,Senior Staff
11606,Perry,Pepe,Senior Staff
11607,Tomokazu,Foong,Engineer
11615,Shem,Isaak,Senior Staff
11616,Zhilian,Brendel,Assistant Engineer
11624,Adil,Gammage,Engineer
11628,Fan,Malinowski,Engineer
11636,Fumitaka,Shiratori,Engineer
11640,Valeri,Coorg,Senior Engineer
11641,Chikako,Rothenberg,Senior Engineer
11644,Sanjit,Zaiane,Assistant Engineer
11646,Lobel,Rubsam,Engineer
11647,Magy,Nitsche,Engineer
11649,Shen,Bernardinello,Technique Leader
11660,Gill,Stenning,Senior Staff
11664,Oksana,Brizzi,Senior Staff
11667,Kristian,Marchegay,Senior Staff
11673,Henk,Felder,Technique Leader
11676,Valeri,Ferriere,Engineer
11681,Fumitake,Benzmuller,Engineer
11684,Oksana,Gide,Senior Staff
11686,Nadjib,Srimani,Senior Staff
11690,Domenick,Raczkowsky,Staff
11693,Hideo,Coorg,Senior Engineer
11696,Dante,Rothe,Senior Staff
11705,Arve,Hofmeyr,Senior Staff
11708,Chenye,Angot,Staff
11713,Danel,Heusch,Engineer
11732,Sanjoy,Ranft,Senior Engineer
11733,Leszek,Sudbeck,Engineer
11735,Amalendu,Picci,Senior Staff
11736,Shugo,Uchoa,Senior Engineer
11737,Martina,Garnier,Assistant Engineer
11738,Tadahiro,Lichtman,Engineer
11746,Koichi,Marrakchi,Senior Staff
11747,Aksel,Kossowski,Senior Staff
11748,Lihong,Massonet,Engineer
11751,Jiafu,Emiris,Senior Staff
11755,Zhenbing,Karner,Senior Staff
11756,Abdelwaheb,Vakili,Engineer
11763,Yuriy,Liesche,Engineer
11764,Sanjay,Anick,Engineer
11765,Zorica,Junet,Senior Staff
11769,Chandrasekaran,Lampe,Senior Staff
11770,Arumugam,Jakobus,Engineer
11772,Gaurav,Penz,Engineer
11774,Aron,Wroclawski,Engineer
11778,Dhritiman,Fontan,Engineer
11779,Shunichi,Thombley,Staff
11791,Gal,Mamelak,Senior Engineer
11797,Chenxi,Thambidurai,Senior Staff
11801,Tommaso,Dayang,Senior Staff
11805,Rosine,Grandbois,Assistant Engineer
11807,Chriss,Binding,Technique Leader
11810,Amabile,Bhattacharjee,Senior Engineer
11811,Herb,Boissier,Senior Staff
11813,Gita,Muhlberg,Staff
11814,Manohar,Shinomoto,Staff
11817,Niranjan,Markovitch,Senior Staff
11821,Mary,Piazza,Senior Engineer
11822,Sastry,Madeira,Staff
11823,Weiyi,Iacovou,Senior Engineer
11829,Chaosheng,Pettis,Assistant Engineer
11832,Arto,Zlotek,Engineer
11836,Ortrud,Bakhtari,Senior Staff
11838,Taiji,Nitta,Staff
11841,Elvia,Bugrara,Staff
11842,Moto,Piazza,Senior Staff
11844,Shawna,Demeyer,Engineer
11846,Fai,Perly,Engineer
11847,Tzvetan,Brandsma,Senior Engineer
11853,Zeljko,Kusakabe,Senior Staff
11857,Divier,Farrag,Senior Staff
11862,Alejandra,Deville,Engineer
11864,Pradeep,Kriebel,Staff
11868,Kwee,Demke,Engineer
11869,Fumino,Luca,Engineer
11871,Nalini,Sommen,Engineer
11872,Cheong,Riexinger,Senior Staff
11876,Leszek,Kobuchi,Engineer
11877,Heng,Sudkamp,Senior Staff
11881,Arra,Staelin,Senior Staff
11883,Nectarios,Bhattacharjee,Engineer
11888,Badri,Azulay,Senior Staff
11894,Mitchel,Validov,Senior Engineer
11896,Shaunak,Benzmuller,Technique Leader
11897,Cordelia,Setlzner,Senior Staff
11906,Hideo,Boguraev,Engineer
11911,Ashish,Mondadori,Engineer
11915,Miomir,Mawatari,Engineer
11917,Jiakeng,VanScheik,Engineer
11926,Leni,Felcyn,Engineer
11931,Gunilla,Chiodo,Senior Staff
11933,Basil,Erman,Engineer
11938,Aruna,Verspoor,Staff
11939,Chinhyun,Basart,Technique Leader
11940,Ult,Anido,Assistant Engineer
11944,Along,Aumann,Senior Engineer
11945,Limsoon,Marakhovsky,Staff
11948,Yahiko,Nergos,Engineer
11949,Martijn,Harbusch,Technique Leader
11951,Bernt,Haumacher,Assistant Engineer
11965,Arup,Morrey,Engineer
11972,Sibyl,Beausoleil,Senior Staff
11980,Yechezkel,Pews,Staff
11983,Jaana,Hedayat,Engineer
11987,Vidya,Schaar,Senior Staff
11988,Chinya,Chinin,Engineer
11989,Erzsebet,Peltason,Technique Leader
11993,Marit,Dalphin,Senior Staff
11994,Sigeru,Fiebach,Senior Staff
11997,Heon,Mawatari,Staff
12007,Marko,Dehkordi,Engineer
12008,Frederique,Zykh,Engineer
12011,Zhilian,Coorg,Senior Staff
12015,Kensei,Guenter,Staff
12021,Chikara,Rahimi,Engineer
12023,Chuanyi,Eppinger,Technique Leader
12024,Mayumi,Lanzelotte,Staff
12025,Jaewoo,Heiserman,Staff
12028,Ingemar,Walstra,Engineer
12030,Shuky,Cromarty,Staff
12033,Visit,Serot,Engineer
12034,Aemilian,Piazza,Staff
12036,Mads,Ratzlaff,Senior Staff
12037,Arunas,Katzenelson,Senior Staff
12040,Bluma,Kermarrec,Senior Staff
12043,Masaki,Lubachevsky,Staff
12044,Rance,Hemaspaandra,Senior Engineer
12047,Jordanka,Ligten,Assistant Engineer
12050,Yuchang,Tchuente,Assistant Engineer
12052,Masako,Khasidashvili,Technique Leader
12053,Yechezkel,Pelc,Senior Engineer
12054,Odysseas,Braccini,Staff
12055,Rutger,Kilgore,Staff
12060,Toshimi,Antonakopoulos,Technique Leader
12062,Margareta,Worfolk,Senior Staff
12063,Lein,Bale,Engineer
12069,Ayonca,Burnard,Assistant Engineer
12070,Ger,Shokrollahi,Technique Leader
12076,Karlis,Siprelle,Senior Staff
12077,Steve,Hutton,Engineer
12080,Panayotis,Feinberg,Senior Staff
12082,Xinan,Yamaashi,Senior Staff
12087,Weijing,Jumpertz,Engineer
12089,Bilhanan,Socorro,Senior Staff
12090,Shigenori,Angelopoulos,Engineer
12091,Lansing,Cunliffe,Senior Engineer
12092,Kauko,Unno,Senior Staff
12093,Evgueni,Oxenboll,Engineer
12094,Weiru,Pearson,Senior Staff
12095,Fai,Smeets,Engineer
12099,Nobuyoshi,Kuzuoka,Senior Staff
12102,Aron,Erde,Staff
12103,Becky,Erie,Staff
12104,Dulce,Kohling,Senior Engineer
12112,Satyanarayana,Avouris,Senior Staff
12114,Shiv,Rubsam,Staff
12122,Satoru,Krone,Engineer
12123,Xiahua,Syrzycki,Senior Staff
12125,Shounak,Erman,Engineer
12128,Yannik,Barreiro,Staff
12138,Takahito,Brender,Engineer
12140,Xudong,Paciorek,Senior Staff
12148,Hidde,Garigliano,Assistant Engineer
12149,Suebskul,Grandbois,Senior Staff
12159,Shem,Perly,Senior Engineer
12160,Aamer,Garrabrants,Senior Staff
12164,Muneo,Chachaty,Engineer
12165,Xiaobin,Maquelin,Senior Engineer
12168,Arnd,Salverda,Senior Staff
12172,Jianhua,Llado,Senior Staff
12173,Adel,Nanard,Senior Engineer
12174,Slavian,Plavsic,Senior Engineer
12183,Harngdar,Iisaku,Engineer
12186,Guther,Nooteboom,Senior Staff
12190,Abdulah,Engberts,Senior Engineer
12191,Rosella,Bazzichi,Engineer
12192,Feiyu,Klyachko,Engineer
12205,Sushant,Rossi,Senior Engineer
12206,Barton,Janetzko,Assistant Engineer
12210,Vugranam,Ashish,Senior Staff
12213,Kwangho,Brizzi,Senior Staff
12216,Aloke,Mansanne,Engineer
12218,Yaghout,Strooper,Engineer
12219,Junsik,Gadepally,Senior Staff
12221,Vincent,Melter,Engineer
12222,Abdelwaheb,Holburn,Senior Staff
12223,Niteen,Koyama,Engineer
12230,Yuriy,Bellone,Engineer
12231,Nishit,Bharadwaj,Senior Engineer
12235,Honesty,Haumacher,Staff
12242,Satoru,Wolniewicz,Assistant Engineer
12247,Subbu,Penttonen,Technique Leader
12249,Eldridge,Sadowski,Engineer
12250,Kerhong,Aloia,Senior Engineer
12254,Chaitali,Stafford,Engineer
12256,Guadalupe,Reghbati,Senior Staff
12258,Kankanahalli,Eiter,Engineer
12264,Mart,Pagter,Engineer
12269,Mohammed,Whitcomb,Engineer
12270,Shakhar,Kornyak,Senior Staff
12272,Behnaam,Grandbois,Senior Staff
12273,Jaideep,Uehara,Senior Staff
12274,Garnik,Papadias,Engineer
12276,Yongmin,Lenart,Engineer
12281,Hisao,Langford,Engineer
12282,Tadahiro,Delgrange,Engineer
12291,Masamitsu,Koyama,Senior Staff
12298,Tetsurou,Rodham,Senior Engineer
12303,Godehard,Braccini,Senior Staff
12308,Mototsugu,Cronau,Senior Staff
12311,Susanne,Lubachevsky,Senior Engineer
12312,Chenye,Velasco,Assistant Engineer
12316,Hyuncheol,Duclos,Assistant Engineer
12317,Weiyi,Crabtree,Staff
12327,DAIDA,Bruckman,Engineer
